Account_id,Name,Channel,Timestamp,Credit/Debit,Amount
1201277,UA?,online,5/19/2013,D,$23
1201278,DY5,online,4/16/2013,C,$19
1201279,JB7,online,2/20/2012,D,$20
1201280,4ZM,online,7/7/2014,C,$23
1201281,CL@,mobile,6/11/2014,C,$43
1201282,BFD,mobile,2/3/2013,C,$40
1201283,:CK,online,7/25/2012,D,$18
1201284,?0H,mobile,9/12/2014,D,$29
1201285,41O,branch,4/8/2014,C,$42
1201286,7D5,mobile,11/21/2013,D,$46
1201287,7I7,mobile,5/20/2013,C,$41
1201288,-<Y,online,2/18/2013,C,$43
1201289,V:9,mobile,7/18/2012,D,$26
1201290,YS<,branch,4/28/2014,C,$36
1201291,WZB,mobile,3/12/2014,D,$46
1201292,:UT,mobile,9/5/2014,C,$25
1201293,WQ9,mobile,12/19/2012,C,$36
1201294,EPX,online,6/1/2014,C,$31
1201295,IWG,online,4/17/2013,D,$47
1201296,6CS,online,4/5/2014,D,$6
1201297,:PF,online,10/28/2012,C,$41
1201298,OHI,mobile,10/26/2014,D,$46
1201299,7SP,mobile,1/8/2012,C,$30
1201300,@6T,online,4/4/2013,C,$44
1201301,;HH,mobile,4/19/2014,D,$20
1201302,Z8U,branch,11/28/2012,C,$37
1201303,=>E,mobile,5/12/2013,D,$10
1201304,NYM,mobile,12/2/2013,C,$38
1201305,7?X,mobile,10/15/2012,C,$18
1201306,XKS,online,5/23/2014,C,$23
1201307,V7K,online,7/26/2012,D,$47
1201308,HLC,online,3/22/2013,D,$9
1201309,KS1,online,1/13/2014,C,$21
1201310,K;A,mobile,9/2/2014,D,$23
1201311,WM7,mobile,2/5/2012,C,$19
1201312,RLC,online,5/5/2012,C,$42
1201313,UFP,mobile,10/1/2012,D,$28
1201314,9WO,branch,7/14/2013,C,$9
1201315,9TZ,mobile,12/20/2013,D,$14
1201316,G?-,mobile,5/14/2013,C,$47
1201317,2SF,online,12/10/2014,C,$30
1201318,J;6,mobile,2/23/2012,C,$29
1201319,BRD,branch,11/21/2012,D,$5
1201320,GP9,mobile,8/28/2013,D,$20
1201321,TK.,mobile,10/15/2014,C,$12
1201322,3Y1,mobile,10/8/2014,D,$33
1201323,TM=,online,1/19/2012,C,$33
1201324,SPQ,online,11/22/2013,C,$40
1201325,HI6,online,9/22/2012,D,$6
1201326,MD1,online,4/13/2012,C,$28
1201327,O09,mobile,7/1/2012,D,$48
1201328,1HV,mobile,4/11/2013,C,$5
1201329,XS1,online,2/9/2012,C,$37
1201330,0<8,mobile,12/4/2012,C,$20
1201331,?EN,branch,8/11/2012,D,$7
1201332,J2/,mobile,1/16/2013,D,$40
1201333,B>=,mobile,10/5/2013,C,$41
1201334,2I/,mobile,3/12/2014,D,$24
1201335,P9L,online,4/7/2014,C,$35
1201336,;;F,online,10/2/2013,C,$20
1201337,<-F,online,10/1/2012,D,$32
1201338,@A6,online,9/16/2012,C,$25
1201339,5G7,mobile,7/19/2013,D,$15
1201340,DT.,mobile,12/7/2014,C,$31
1201341,XY4,online,8/17/2012,C,$33
1201342,KP4,mobile,5/1/2012,C,$9
1201343,SRW,branch,7/9/2014,D,$17
1201344,3DF,mobile,9/26/2013,D,$46
1201345,8?N,mobile,9/17/2013,C,$20
1201346,P69,online,6/8/2014,D,$16
1201347,/2N,mobile,2/2/2014,C,$44
1201348,0RF,branch,3/9/2012,C,$13
1201349,YN4,mobile,10/13/2012,D,$42
1201350,PZ-,mobile,7/22/2013,C,$30
1201351,<?B,mobile,6/4/2013,D,$9
1201352,I@I,online,9/15/2014,C,$3
1201353,N?<,online,3/27/2013,C,$10
1201354,L4W,online,7/12/2013,C,$47
1201355,MUT,online,8/16/2012,D,$33
1201356,DQ7,mobile,9/3/2013,D,$39
1201357,=CH,mobile,11/26/2012,C,$15
1201358,SBF,online,3/27/2012,D,$1
1201359,A:G,mobile,11/20/2013,C,$29
1201360,J49,branch,6/27/2013,C,$46
1201361,YF2,mobile,1/6/2012,D,$29
1201362,LZU,mobile,7/26/2012,C,$17
1201363,5C3,mobile,11/1/2012,D,$42
1201364,B9S,online,4/13/2012,C,$12
1201365,.GQ,online,7/19/2012,C,$36
1201366,F.S,online,12/26/2014,C,$20
1201367,QD4,online,12/8/2012,D,$49
1201368,FZ?,mobile,6/12/2012,D,$26
1201369,><7,mobile,11/13/2014,C,$28
1201370,JBR,online,8/9/2014,D,$28
1201371,-S<,mobile,7/11/2014,C,$37
1201372,2CC,branch,5/11/2012,C,$25
1201373,VNU,mobile,1/14/2014,D,$23
1201374,.3?,mobile,10/3/2013,C,$16
1201375,ECS,online,3/5/2014,D,$42
1201376,.BY,mobile,1/4/2012,C,$20
1201377,8H0,branch,2/6/2012,C,$22
1201378,H<X,mobile,1/24/2013,C,$8
1201379,-;-,mobile,6/6/2012,D,$29
1201380,1-O,mobile,12/17/2012,D,$8
1201381,99K,online,10/7/2013,C,$6
1201382,EKV,online,5/5/2012,D,$38
1201383,/EQ,online,7/9/2012,C,$47
1201384,Q<5,online,7/16/2013,C,$13
1201385,6V<,mobile,12/17/2012,D,$2
1201386,3FZ,mobile,3/1/2013,C,$12
1201387,BQU,online,9/16/2014,D,$38
1201388,SQW,mobile,11/12/2012,C,$47
1201389,8LP,branch,6/1/2013,C,$47
1201390,P0C,mobile,2/15/2012,C,$42
1201391,U6L,mobile,10/23/2014,D,$10
1201392,.YT,mobile,10/12/2014,D,$23
1201393,/A9,online,8/23/2012,C,$47
1201394,PA3,online,1/27/2013,D,$7
1201395,@G.,online,9/24/2012,C,$31
1201396,VAS,online,3/14/2013,C,$4
1201397,R<0,mobile,8/21/2013,D,$39
1201398,RYQ,mobile,7/4/2012,C,$49
1201399,K?C,online,4/21/2013,D,$50
1201400,E<T,mobile,12/21/2014,C,$3
1201401,3;-,branch,5/1/2013,C,$13
1201402,XZR,mobile,2/20/2014,C,$47
1201403,7BP,mobile,5/13/2014,D,$39
1201404,CV:,online,3/26/2013,D,$19
1201405,>GN,mobile,7/14/2014,C,$2
1201406,O5=,branch,5/9/2014,D,$2
1201407,KH9,mobile,2/26/2013,C,$3
1201408,RLN,mobile,1/11/2012,C,$36
1201409,2U@,mobile,5/23/2012,D,$31
1201410,4K4,online,10/24/2014,C,$33
1201411,H6G,online,1/24/2014,D,$43
1201412,=15,online,9/5/2013,C,$40
1201413,<<S,online,2/12/2012,C,$40
1201414,3V3,mobile,11/11/2014,C,$3
1201415,.CG,mobile,7/15/2013,D,$14
1201416,3W5,online,9/28/2014,D,$22
1201417,G@7,mobile,7/17/2014,C,$25
1201418,J9/,branch,9/13/2013,D,$33
1201419,FKP,mobile,6/16/2012,C,$26
1201420,WEO,mobile,8/16/2012,C,$41
1201421,<J1,mobile,5/12/2012,D,$23
1201422,1.H,online,9/24/2013,C,$35
1201423,TMY,online,1/2/2013,D,$36
1201424,CDH,online,3/3/2012,C,$30
1201425,?R@,online,1/15/2014,C,$35
1201426,717,mobile,11/18/2012,C,$44
1201427,.5W,mobile,2/17/2014,D,$3
1201428,ANH,online,6/2/2014,C,$37
1201429,79>,mobile,9/21/2012,C,$5
1201430,X9>,branch,10/1/2012,D,$15
1201431,Z/Y,mobile,2/14/2014,C,$43
1201432,Y7V,mobile,12/7/2014,D,$42
1201433,L-A,online,2/22/2014,C,$26
1201434,HB;,mobile,10/19/2012,C,$19
1201435,L7F,branch,5/8/2013,C,$32
1201436,:4F,mobile,5/14/2013,D,$8
1201437,QK0,mobile,12/13/2014,D,$23
1201438,QDL,mobile,9/7/2012,C,$2
1201439,3M/,online,11/26/2014,D,$14
1201440,KUD,online,5/1/2014,C,$32
1201441,@53,online,1/7/2013,C,$19
1201442,W=W,online,3/1/2013,D,$50
1201443,=2-,mobile,1/3/2012,C,$31
1201444,2.J,mobile,12/28/2014,D,$10
1201445,42S,online,8/4/2013,C,$3
1201446,=GZ,mobile,2/14/2014,C,$13
1201447,?C1,branch,6/7/2014,C,$26
1201448,ZM.,mobile,3/25/2014,D,$45
1201449,QQI,mobile,4/28/2012,C,$33
1201450,FP8,mobile,7/11/2013,C,$29
1201451,.Y9,online,6/1/2013,D,$15
1201452,7==,online,12/22/2014,C,$15
1201453,FU3,online,11/16/2013,D,$25
1201454,2/4,online,12/5/2012,C,$12
1201455,19D,mobile,7/12/2014,C,$28
1201456,7N6,mobile,9/23/2014,C,$15
1201457,28Y,online,6/2/2013,D,$40
1201458,=TY,mobile,10/5/2013,D,$32
1201459,E;K,branch,3/15/2013,C,$45
1201460,AI-,mobile,9/6/2013,D,$35
1201461,I4M,mobile,6/20/2014,C,$12
1201462,HM-,online,12/7/2012,C,$44
1201463,K/9,mobile,9/10/2012,D,$47
1201464,-66,branch,4/22/2013,C,$21
1201465,@SJ,mobile,5/21/2012,D,$31
1201466,SIT,mobile,5/21/2014,C,$50
1201467,8H2,mobile,4/23/2013,C,$33
1201468,2A4,online,11/28/2013,C,$30
1201469,OSJ,online,5/14/2013,D,$33
1201470,UP7,online,10/17/2013,C,$22
1201471,W3A,online,4/25/2013,C,$49
1201472,NHG,mobile,6/25/2012,D,$41
1201473,;24,mobile,9/3/2012,C,$14
1201474,N7Y,online,11/19/2013,D,$10
1201475,DEX,mobile,2/27/2014,C,$42
1201476,DB3,branch,9/13/2013,C,$34
1201477,JP7,mobile,11/15/2014,C,$34
1201478,LMR,mobile,1/2/2012,D,$47
1201479,:9<,mobile,11/4/2014,D,$41
1201480,77/,online,1/3/2014,C,$13
1201481,F86,online,6/19/2012,D,$30
1201482,2S/,online,3/5/2012,C,$35
1201483,0LQ,online,12/2/2012,C,$32
1201484,EOQ,mobile,2/5/2012,D,$22
1201485,JR/,mobile,11/8/2012,C,$49
1201486,GCT,online,9/16/2012,D,$5
1201487,/E-,mobile,4/5/2012,C,$43
1201488,.I8,branch,1/20/2012,C,$7
1201489,I:1,mobile,10/16/2014,C,$22
1201490,I?J,mobile,3/21/2013,D,$22
1201491,0=M,online,12/9/2014,C,$8
1201492,WRW,mobile,8/25/2013,C,$34
1201493,F26,branch,12/17/2012,D,$15
1201494,B>Z,mobile,9/11/2012,C,$42
1201495,792,mobile,12/9/2012,D,$2
1201496,3Y1,mobile,2/19/2012,C,$18
1201497,/DC,online,2/22/2012,C,$3
1201498,5@Q,online,3/9/2013,C,$39
1201499,VR6,online,5/20/2012,D,$15
1201500,<65,online,1/2/2013,D,$24
1201501,H/.,mobile,7/26/2012,C,$21
1201502,7?;,mobile,2/10/2014,D,$48
1201503,SXE,online,1/8/2013,C,$18
1201504,Q@R,mobile,1/2/2013,C,$16
1201505,.S0,branch,5/7/2012,D,$24
1201506,4ZJ,mobile,12/8/2014,C,$22
1201507,7=.,mobile,1/20/2014,D,$22
1201508,8>5,mobile,2/16/2012,C,$35
1201509,QU9,online,10/2/2014,C,$11
1201510,UL-,online,4/16/2014,C,$30
1201511,P0C,online,5/26/2014,D,$14
1201512,QOD,online,1/21/2013,C,$21
1201513,WHW,mobile,12/9/2012,C,$29
1201514,BXV,mobile,2/21/2012,D,$47
1201515,>NL,online,1/16/2014,C,$48
1201516,JTF,mobile,2/13/2012,D,$4
1201517,7ZB,branch,10/23/2012,C,$6
1201518,5TC,mobile,7/23/2012,C,$17
1201519,MG<,mobile,9/18/2014,C,$12
1201520,6NG,online,5/22/2014,D,$1
1201521,/;9,mobile,10/19/2013,D,$34
1201522,CJZ,branch,5/3/2013,C,$15
1201523,RJ9,mobile,5/25/2014,D,$39
1201524,>JO,mobile,2/23/2012,C,$12
1201525,-;6,mobile,8/22/2013,C,$44
1201526,H/6,online,4/3/2013,D,$3
1201527,O=E,online,4/7/2014,C,$39
1201528,DP3,online,1/9/2012,D,$17
1201529,B<V,online,10/6/2014,C,$40
1201530,S6Y,mobile,2/17/2013,C,$5
1201531,:64,mobile,5/13/2013,C,$35
1201532,;M/,online,9/13/2012,D,$38
1201533,FNZ,mobile,4/21/2013,C,$7
1201534,>.<,branch,11/10/2014,C,$6
1201535,P..,mobile,10/6/2012,D,$3
1201536,4?E,mobile,1/26/2014,C,$47
1201537,WSC,mobile,8/20/2014,D,$48
1201538,.;N,online,12/2/2014,C,$20
1201539,=.E,online,3/18/2014,C,$32
1201540,7V/,online,2/2/2012,C,$22
1201541,VVO,online,5/24/2014,D,$28
1201542,Q3C,mobile,4/28/2013,D,$12
1201543,2HW,mobile,6/9/2012,C,$27
1201544,UD8,online,10/27/2012,D,$1
1201545,K:O,mobile,1/6/2014,C,$10
1201546,=W=,branch,3/2/2014,C,$27
1201547,>;C,mobile,9/8/2014,D,$42
1201548,4EL,mobile,7/26/2012,C,$16
1201549,EE;,online,3/11/2014,D,$26
1201550,YCC,mobile,7/4/2014,C,$46
1201551,WNE,branch,7/18/2013,C,$3
1201552,SYD,mobile,4/27/2012,C,$22
1201553,P-;,mobile,8/21/2012,D,$24
1201554,G/R,mobile,6/2/2013,C,$45
1201555,2@W,online,7/23/2013,C,$16
1201556,GR?,online,10/19/2013,D,$24
1201557,RP<,online,8/7/2014,C,$9
1201558,KG6,online,10/5/2012,D,$43
1201559,YBA,mobile,10/23/2014,C,$35
1201560,92I,mobile,7/11/2012,C,$39
1201561,Z<F,online,2/8/2012,C,$9
1201562,=Q1,mobile,9/23/2014,D,$27
1201563,E9C,branch,3/11/2013,D,$18
1201564,9GO,mobile,11/27/2013,C,$50
1201565,-O:,mobile,9/13/2013,D,$9
1201566,18/,mobile,1/21/2012,C,$37
1201567,6M/,online,10/7/2014,C,$35
1201568,@:@,online,10/8/2012,D,$20
1201569,P-Z,online,5/1/2012,C,$6
1201570,V9;,online,8/1/2013,D,$3
1201571,B9/,mobile,5/23/2014,C,$17
1201572,RJI,mobile,8/19/2012,C,$30
1201573,8Z;,online,5/24/2012,C,$39
1201574,B>7,mobile,7/26/2012,D,$46
1201575,QRM,branch,11/7/2013,C,$16
1201576,UWJ,mobile,10/11/2013,C,$8
1201577,D6?,mobile,1/17/2013,D,$42
1201578,1B8,online,3/10/2013,C,$32
1201579,PL=,mobile,6/22/2014,D,$24
1201580,2JG,branch,6/13/2014,C,$47
1201581,::P,mobile,11/5/2013,C,$27
1201582,MLF,mobile,11/18/2014,C,$22
1201583,MT6,mobile,6/3/2013,D,$49
1201584,Q6/,online,2/15/2014,D,$17
1201585,F2X,online,4/18/2014,C,$1
1201586,2BC,online,9/11/2013,D,$25
1201587,UKW,online,5/2/2012,C,$29
1201588,GC;,mobile,12/28/2014,C,$4
1201589,7;C,mobile,7/16/2013,D,$47
1201590,5K?,online,1/26/2014,C,$48
1201591,4QP,mobile,7/7/2014,D,$12
1201592,PZO,branch,10/5/2013,C,$1
1201593,2YL,mobile,5/26/2012,C,$34
1201594,G9:,mobile,2/14/2012,C,$21
1201595,NXW,mobile,7/2/2013,D,$18
1201596,.O7,online,7/9/2014,C,$47
1201597,6YD,online,8/19/2012,C,$44
1201598,KEZ,online,12/16/2013,D,$25
1201599,IAX,online,1/9/2013,C,$40
1201600,W.E,mobile,4/7/2013,D,$48
1201601,7L>,mobile,6/13/2013,C,$20
1201602,W7D,online,8/10/2013,C,$3
1201603,C:-,mobile,9/4/2013,C,$2
1201604,QE2,branch,4/18/2013,D,$25
1201605,;G6,mobile,12/22/2012,D,$18
1201606,G2F,mobile,5/21/2014,C,$29
1201607,R5;,online,12/7/2013,D,$13
1201608,4XI,mobile,7/27/2012,C,$39
1201609,SKE,branch,5/3/2013,C,$44
1201610,<>U,mobile,2/4/2013,D,$40
1201611,J@T,mobile,4/2/2013,C,$1
1201612,58S,mobile,5/7/2013,D,$48
1201613,28B,online,11/10/2013,C,$44
1201614,;F.,online,2/4/2014,C,$36
1201615,MFU,online,4/6/2013,C,$34
1201616,=I=,online,5/14/2012,D,$25
1201617,VN.,mobile,9/17/2012,C,$15
1201618,V4N,mobile,7/1/2012,C,$13
1201619,H8C,online,10/16/2013,D,$50
1201620,T6I,mobile,4/24/2012,C,$11
1201621,J<N,branch,3/7/2014,D,$15
1201622,N2@,mobile,11/1/2013,C,$38
1201623,RH;,mobile,2/21/2014,C,$45
1201624,Z:5,mobile,1/12/2013,C,$6
1201625,@3D,online,10/1/2014,D,$10
1201626,V95,online,2/6/2012,D,$43
1201627,<?L,online,11/12/2013,C,$1
1201628,4H4,online,9/26/2013,D,$34
1201629,7Q8,mobile,4/2/2012,C,$41
1201630,R8N,mobile,6/23/2013,C,$16
1201631,:PX,online,9/24/2012,D,$38
1201632,:K1,mobile,6/26/2013,C,$10
1201633,U5P,branch,5/10/2013,D,$4
1201634,D2G,mobile,5/3/2014,C,$35
1201635,DD7,mobile,6/20/2012,C,$46
1201636,?E5,online,11/23/2014,C,$20
1201637,1W4,mobile,1/13/2012,D,$5
1201638,<>Z,branch,2/2/2013,C,$42
1201639,/2Y,mobile,3/5/2013,C,$49
1201640,Y/I,mobile,5/5/2014,D,$50
1201641,P/Y,mobile,6/2/2014,C,$9
1201642,VC1,online,9/24/2013,D,$1
1201643,X-?,online,5/18/2013,C,$41
1201644,FCU,online,7/2/2014,C,$11
1201645,448,online,8/22/2013,C,$16
1201646,RL4,mobile,8/1/2012,D,$20
1201647,-;Q,mobile,3/17/2012,D,$17
1201648,UH1,online,6/13/2012,C,$34
1201649,5@0,mobile,12/4/2014,D,$27
1201650,CW=,branch,9/10/2014,C,$37
1201651,=36,mobile,7/24/2012,C,$43
1201652,:5>,mobile,8/5/2012,D,$45
1201653,GYT,mobile,11/6/2013,C,$50
1201654,ARU,online,11/18/2012,D,$25
1201655,31:,online,2/14/2012,C,$17
1201656,M.S,online,3/20/2014,C,$37
1201657,805,online,9/14/2014,C,$11
1201658,8L9,mobile,2/26/2013,D,$35
1201659,8<S,mobile,3/5/2013,C,$45
1201660,Q.M,online,3/24/2013,C,$24
1201661,005,mobile,10/13/2012,D,$30
1201662,30Y,branch,5/8/2012,C,$15
1201663,JK<,mobile,4/15/2012,D,$31
1201664,3OH,mobile,7/3/2013,C,$4
1201665,WFP,online,7/18/2012,C,$36
1201666,GJL,mobile,7/22/2014,C,$40
1201667,-7T,branch,8/14/2014,D,$18
1201668,96=,mobile,3/22/2012,D,$9
1201669,BI8,mobile,12/26/2012,C,$4
1201670,UFO,mobile,2/25/2013,D,$37
1201671,=V8,online,5/27/2012,C,$21
1201672,XSK,online,2/1/2012,C,$5
1201673,E>I,online,4/1/2013,D,$26
1201674,KD5,online,4/23/2013,C,$40
1201675,IPS,mobile,2/25/2012,D,$40
1201676,ME<,mobile,9/28/2014,C,$48
1201677,0WK,online,12/7/2012,C,$46
1201678,U@7,mobile,10/15/2012,C,$27
1201679,9ZA,branch,5/28/2013,D,$27
1201680,PLQ,mobile,5/11/2014,C,$14
1201681,/ER,mobile,8/10/2013,C,$26
1201682,?KE,mobile,11/26/2013,D,$45
1201683,C?J,online,8/6/2013,C,$11
1201684,2ZK,online,2/1/2012,D,$19
1201685,WD-,online,12/14/2012,C,$5
1201686,.@W,online,8/21/2012,C,$38
1201687,92G,mobile,8/22/2014,C,$10
1201688,JO?,mobile,3/22/2014,D,$30
1201689,RV;,online,10/2/2012,D,$27
1201690,IN8,mobile,6/3/2012,C,$38
1201691,VW@,branch,4/1/2013,D,$23
1201692,BYL,mobile,8/17/2012,C,$5
1201693,V/S,mobile,3/2/2013,C,$49
1201694,NB2,online,8/9/2014,D,$13
1201695,ZN5,mobile,11/22/2012,C,$48
1201696,;65,branch,9/16/2013,D,$42
1201697,D;K,mobile,10/20/2013,C,$14
1201698,6SV,mobile,5/1/2014,C,$29
1201699,WUQ,mobile,1/16/2013,C,$49
1201700,363,online,7/15/2014,D,$37
1201701,T@V,online,12/21/2013,C,$27
1201702,KT/,online,9/25/2014,C,$8
1201703,COZ,online,1/2/2012,D,$11
1201704,B:8,mobile,1/12/2013,C,$39
1201705,3CF,mobile,10/13/2014,D,$15
1201706,?U7,online,9/28/2014,C,$18
1201707,IMO,mobile,7/28/2013,C,$20
1201708,WMC,branch,4/9/2012,C,$41
1201709,/5D,mobile,7/1/2013,D,$7
1201710,IFM,mobile,1/22/2012,D,$4
1201711,.O3,mobile,6/7/2012,C,$8
1201712,GJH,online,11/26/2014,D,$15
1201713,W>X,online,1/8/2012,C,$36
1201714,-4L,online,7/8/2014,C,$10
1201715,5YG,online,7/28/2013,D,$47
1201716,5V.,mobile,9/3/2012,C,$38
1201717,9D.,mobile,3/7/2014,D,$31
1201718,4DI,online,12/9/2014,C,$10
1201719,QCY,mobile,12/13/2014,C,$36
1201720,M5V,branch,9/27/2012,C,$26
1201721,DCD,mobile,10/28/2014,D,$45
1201722,WE7,mobile,2/12/2013,C,$14
1201723,L>U,online,4/11/2014,C,$37
1201724,@C=,mobile,12/2/2012,D,$42
1201725,.DM,branch,6/1/2014,C,$11
1201726,FAK,mobile,6/24/2012,D,$34
1201727,FHV,mobile,5/27/2014,C,$20
1201728,B;=,mobile,1/14/2013,C,$7
1201729,B6@,online,11/26/2012,C,$50
1201730,PSW,online,6/3/2013,D,$32
1201731,9?.,online,4/26/2012,D,$13
1201732,UO7,online,6/24/2012,C,$1
1201733,<P;,mobile,6/8/2013,D,$35
1201734,Z6F,mobile,1/1/2012,C,$17
1201735,4:1,online,12/5/2012,C,$28
1201736,?ZP,mobile,12/8/2013,D,$7
1201737,JSX,branch,3/26/2012,C,$8
1201738,5:.,mobile,12/27/2012,D,$47
1201739,VR-,mobile,10/5/2012,C,$3
1201740,BB8,mobile,8/15/2012,C,$27
1201741,2YY,online,4/7/2012,C,$17
1201742,XRJ,online,6/18/2012,D,$5
1201743,6HV,online,7/15/2012,C,$4
1201744,4L7,online,11/19/2013,C,$2
1201745,TGH,mobile,11/7/2013,D,$8
1201746,CQ6,mobile,5/11/2012,C,$5
1201747,8FU,online,3/22/2014,D,$50
1201748,1HN,mobile,3/25/2012,C,$6
1201749,.ZS,branch,12/25/2012,C,$12
1201750,CIE,mobile,4/28/2012,C,$13
1201751,NT/,mobile,8/11/2012,D,$5
1201752,QKB,online,10/6/2012,D,$46
1201753,YX5,mobile,10/16/2014,C,$14
1201754,K;?,branch,4/13/2013,D,$6
1201755,<2>,mobile,5/10/2014,C,$40
1201756,>1@,mobile,2/9/2013,C,$24
1201757,.<:,mobile,3/18/2014,D,$17
1201758,YS4,online,7/7/2013,C,$2
1201759,FP.,online,4/4/2012,D,$38
1201760,53:,online,3/23/2014,C,$2
1201761,-CT,online,2/28/2013,C,$1
1201762,SP-,mobile,11/15/2013,C,$22
1201763,NKO,mobile,8/13/2014,D,$14
1201764,0WF,online,9/9/2013,C,$20
1201765,=/W,mobile,9/27/2014,C,$34
1201766,:LX,branch,2/20/2013,D,$29
1201767,D.E,mobile,6/27/2013,C,$14
1201768,IU6,mobile,10/18/2013,D,$16
1201769,5O8,mobile,4/23/2012,C,$13
1201770,15D,online,5/26/2014,C,$12
1201771,E9Q,online,1/6/2014,C,$9
1201772,Y<6,online,3/22/2013,D,$25
1201773,GKU,online,9/28/2013,D,$20
1201774,RO5,mobile,6/2/2014,C,$46
1201775,FCY,mobile,2/9/2013,D,$36
1201776,EXZ,online,4/12/2012,C,$41
1201777,G=T,mobile,8/8/2014,C,$44
1201778,6I<,branch,10/25/2014,D,$40
1201779,EX3,mobile,10/22/2014,C,$40
1201780,MI@,mobile,7/4/2012,D,$29
1201781,YB9,online,8/7/2013,C,$1
1201782,P.-,mobile,9/1/2013,C,$2
1201783,8HI,branch,11/12/2013,C,$40
1201784,LLP,mobile,6/26/2012,D,$27
1201785,GN-,mobile,10/14/2014,C,$40
1201786,7RT,mobile,5/22/2013,C,$25
1201787,U<6,online,2/17/2014,D,$46
1201788,340,online,12/23/2012,C,$29
1201789,Z==,online,2/19/2012,D,$28
1201790,/76,online,9/23/2014,C,$46
1201791,=2E,mobile,1/4/2014,C,$31
1201792,YX6,mobile,5/28/2013,C,$32
1201793,ENG,online,10/5/2014,D,$15
1201794,ITE,mobile,3/7/2013,D,$20
1201795,:S2,branch,2/2/2014,C,$43
1201796,VS5,mobile,12/23/2014,D,$23
1201797,60K,mobile,4/20/2014,C,$46
1201798,7-V,mobile,3/14/2012,C,$28
1201799,0J3,online,9/7/2012,D,$15
1201800,ACJ,online,1/13/2014,C,$46
1201801,0G?,online,9/21/2012,D,$20
